Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,loudness_norm,calm_score,softness_score,migraine_level,migraine_safe
75301,0AOeRfH6G0zS6sGb2QXavO,Laura Sullivan,Glow (Piano Version),Glow (Piano Version),46,153258,False,0.567,0.154,0,-24.924,1,0.0351,0.992,0.906,0.099,0.673,119.797,3,new-age,0.5846,0.7623800000000001,0.8328800000000001,2,True
75302,0ylDdT1ayY2tIBRQ92Laoz,David & Steve Gordon,Gratitude – Relaxing Native American Flute Music,Peace In Every Step,32,432651,False,0.227,0.243,4,-14.288,0,0.0382,0.972,0.744,0.102,0.0397,131.94,4,new-age,0.7618666666666667,0.7193266666666668,0.7607266666666667,1,True
75303,2xJhe9D6jPTBALyyyvJdcw,Karunesh,Colors of the East,Goa Sunset,36,344400,False,0.657,0.421,2,-13.878,0,0.0331,0.79,0.841,0.083,0.145,115.961,4,new-age,0.7687,0.54916,0.61496,2,True
75304,5zCFuB2hlS85wzZGpdbM8H,Michael Hoppé,The Unforgetting Heart,Eventide,54,271893,False,0.101,0.0712,2,-24.396,0,0.044,0.968,0.962,0.109,0.0391,89.266,3,new-age,0.5934,0.83314,0.84396,4,True
75306,7vk7u7kaqw5A6BtkfoxQf3,Yiruma,The Best - Reminiscent 10th Anniversary,Do You?,46,292906,False,0.435,0.101,7,-18.753,1,0.0487,0.992,0.926,0.101,0.222,107.449,4,new-age,0.68745,0.77621,0.82821,2,True
75307,5NZAXNg5JGgAhxA8J2Sjsk,Laura Sullivan,More Than All the Stars,More Than All the Stars,41,141141,False,0.503,0.141,1,-26.212,1,0.0315,0.992,0.946,0.108,0.579,119.781,3,new-age,0.5631333333333333,0.7782733333333334,0.8410733333333333,2,True
75308,2al5JHXAmtldfEQ3iIIUMH,Achillea,The Nine Worlds,The Monks of Lindisfarne,45,192786,False,0.698,0.46,9,-15.919,0,0.0448,0.839,0.884,0.136,0.205,95.0,4,new-age,0.7346833333333334,0.5509633333333334,0.6345633333333334,1,True
75309,5HYBrdzTwfJBVLFuoxzKYH,Yanni,Reflections Of Passion,Almost A Whisper,32,192640,False,0.525,0.11,6,-21.504,0,0.0313,0.933,0.886,0.0771,0.0917,109.939,4,new-age,0.6416,0.75508,0.80518,2,True
75310,12hFaFR7tKbosGFiEr2fmM,Oliver Shanti & Friends,Best Of Oliver Shanti & Friends: Circles Of Life,Sacral Nirvana,45,335293,False,0.585,0.683,1,-8.86,0,0.0298,0.211,0.889,0.105,0.7,94.502,4,new-age,0.8523333333333334,0.26113333333333333,0.2301333333333333,1,True
75311,4FYQpXomAdYJ93jblGWdtG,Yanni,In My Time,Whispers In The Dark,41,328133,False,0.308,0.0788,11,-22.856,0,0.0302,0.988,0.949,0.0885,0.0633,82.402,4,new-age,0.6190666666666667,0.8102666666666667,0.8465466666666666,4,True
75312,53QyvBV8XGEw7wxsTZwimc,Wayne Gratz,Four Steps to the Ocean,A Silent Wind,24,263280,False,0.146,0.094,0,-21.593,0,0.0379,0.986,0.945,0.105,0.0639,85.809,4,new-age,0.6401166666666666,0.8155766666666668,0.8367766666666666,4,True
75313,3S0gwZJ3GonEYRqYpTWIuh,David Nevue,Adoration: Solo Piano Hymns,I Surrender All,47,143146,False,0.446,0.015,2,-20.292,1,0.107,0.988,0.916,0.123,0.346,79.718,4,new-age,0.6617999999999999,0.81344,0.85714,4,True
75314,5Q2GzK2v317XDi54nmgnU4,Ann Sweeten,A Place in the Sun,Echoes,24,187733,False,0.192,0.171,0,-17.621,1,0.0339,0.974,0.937,0.0958,0.0698,65.834,3,new-age,0.7063166666666667,0.7633366666666666,0.7944366666666667,4,True
75315,4i4NvMRqik7idMme5bdJwQ,Ad Dios,Avalon,Excalibur,25,284000,False,0.627,0.154,2,-20.05,1,0.0399,0.0575,0.857,0.0911,0.0507,120.113,4,new-age,0.6658333333333334,0.4597833333333333,0.34938333333333327,1,True
75316,3umEiXjMwOxASAGBVbkfS1,David Wahler,Antiquus,Ancient Dawn,24,259680,False,0.0642,0.263,7,-14.83,0,0.0354,0.399,0.939,0.249,0.0617,52.646,4,new-age,0.7528333333333334,0.5575133333333333,0.4700333333333333,1,True
75317,55ZOwV8VlGuI8f7wc4vofi,Karunesh,Call of the Mystic,Monsoon's Dance,42,417093,False,0.442,0.407,9,-13.774,0,0.0351,0.365,0.914,0.0975,0.157,81.024,4,new-age,0.7704333333333333,0.4484133333333334,0.4063133333333333,1,True
75318,6oL9Fgi2Da6syTH8nj7S7x,Laura Sullivan,Instrumental Pop Covers,"10,000 Hours (Instrumental Version)",48,122130,False,0.398,0.187,10,-17.706,1,0.032,0.991,0.926,0.112,0.279,85.737,4,new-age,0.7049,0.74172,0.7984199999999999,4,True
75319,7vlbM2JbatZv9k70YjNUiK,Parijat,Serenity,57 Miles,25,374026,False,0.53,0.305,2,-17.728,1,0.0329,0.954,0.91,0.108,0.362,139.999,4,new-age,0.7045333333333333,0.6702933333333334,0.7445933333333333,1,True
75320,0gEjVYYmeWfwRDdr0EpKKn,2002,Believe,Chain of Life,24,306106,False,0.176,0.458,10,-12.956,1,0.0335,0.0416,0.827,0.106,0.133,147.951,4,new-age,0.7840666666666666,0.3548666666666667,0.2265866666666667,1,True
75321,6pfdfnkhql0kR3x5cRZhQI,Sacred Spirit,Chants And Dances Of The Native Americans,Yeha Noha (Wishes Of Happiness And Prosperity),53,243666,False,0.576,0.384,3,-16.737,1,0.0335,0.31,0.0267,0.113,0.513,94.015,4,new-age,0.7210500000000001,0.43759000000000003,0.39559,1,True
